session,ID,party,name,coord1D,coord2D,se1D,se2D,var1D,var2D,loglikelihood,numVotes,numErrors,GMP,numeric_id,original_id
2,Legislator 82,1,Legislator 82,-0.495459824800491,0.179665878415108,0,0,0,0,-49.8386611938477,802,22,0.939748525619507,2,14854
2,Legislator 83,1,Legislator 83,-0.596554696559906,-0.0216172710061073,0,0,0,0,-18.8333549499512,793,4,0.976530313491821,2,14854
2,Legislator 84,1,Legislator 84,-0.716291964054108,0.250106036663055,0,0,0,0,-20.1913185119629,807,6,0.975290179252625,2,14854
2,Legislator 85,1,Legislator 85,-0.519027888774872,0.0064945761114358,0,0,0,0,-30.812427520752,795,8,0.961983680725098,2,14854
2,Legislator 86,1,Legislator 86,-0.64606100320816,-0.14594304561615,0,0,0,0,-19.4627933502197,783,5,0.975449681282043,2,14854
2,Legislator 87,1,Legislator 87,0.281339824199677,-0.0358534902334213,0,0,0,0,-155.393280029297,787,60,0.820821046829224,2,14854
2,Legislator 88,1,Legislator 88,-0.515706241130829,-0.0789928212761879,0,0,0,0,-30.3911018371582,787,11,0.962119698524475,2,14854
2,Legislator 89,1,Legislator 89,0.713668525218964,0.684291064739227,0,0,0,0,-77.4887390136719,752,29,0.902087688446045,2,14854
2,Legislator 90,1,Legislator 90,0.531505167484283,0.291906803846359,0,0,0,0,-205.683410644531,807,85,0.775014042854309,2,14854
2,Legislator 91,1,Legislator 91,0.529595613479614,-0.351859122514725,0,0,0,0,-78.097526550293,744,32,0.900351703166962,2,14854
2,Legislator 92,1,Legislator 92,0.423900127410889,-0.719217598438263,0,0,0,0,-73.1526031494141,809,22,0.913544237613678,2,14854
2,Legislator 93,1,Legislator 93,-0.711262583732605,0.411792635917664,0,0,0,0,-17.0776100158691,766,5,0.977952182292938,2,14854
2,Legislator 94,1,Legislator 94,0.562089800834656,0.0192275196313858,0,0,0,0,-164.329360961914,756,81,0.804634690284729,2,14854
2,Legislator 95,1,Legislator 95,-0.705405473709106,0.0063154264353215,0,0,0,0,-14.8349618911743,733,4,0.979964733123779,2,14854
2,Legislator 96,1,Legislator 96,0.534337937831879,-0.193269848823547,0,0,0,0,-99.109748840332,786,38,0.88153213262558,2,14854
2,Legislator 97,1,Legislator 97,0.236171007156372,-0.391685366630554,0,0,0,0,-160.63117980957,755,68,0.808352947235107,2,14854
2,Legislator 98,1,Legislator 98,0.45552659034729,-0.319754391908646,0,0,0,0,-92.105224609375,779,35,0.888487040996552,2,14854
2,Legislator 99,1,Legislator 99,-0.615811109542847,0.108841449022293,0,0,0,0,-46.7494621276855,751,15,0.939648330211639,2,14854
2,Legislator 100,1,Legislator 100,0.717126727104187,0.233047664165497,0,0,0,0,-133.31559753418,790,49,0.844716727733612,2,14854
2,Legislator 101,1,Legislator 101,-0.501792788505554,0.107716955244541,0,0,0,0,-30.7532825469971,795,9,0.962055265903473,2,14854
2,Legislator 102,1,Legislator 102,0.486613541841507,0.0502461269497871,0,0,0,0,-132.94709777832,788,56,0.844749987125397,2,14854
2,Legislator 103,1,Legislator 103,0.555601060390472,-0.199849218130112,0,0,0,0,-91.169677734375,759,40,0.886815667152405,2,14854
2,Legislator 104,1,Legislator 104,0.481955170631409,-0.0732171609997749,0,0,0,0,-120.23307800293,792,47,0.85915195941925,2,14854
2,Legislator 105,1,Legislator 105,0.520319819450378,-0.2565838098526,0,0,0,0,-127.533020019531,797,53,0.852129876613617,2,14854
2,Legislator 106,1,Legislator 106,0.431469291448593,-0.0741521492600441,0,0,0,0,-88.1778106689453,794,38,0.89488935470581,2,14854
2,Legislator 107,1,Legislator 107,0.354605138301849,-0.122262582182884,0,0,0,0,-130.716796875,761,60,0.842173039913177,2,14854
2,Legislator 108,1,Legislator 108,0.520395040512085,-0.170717492699623,0,0,0,0,-97.9921875,780,35,0.881940245628357,2,14854
2,Legislator 109,1,Legislator 109,0.45842444896698,-0.433402955532074,0,0,0,0,-120.655990600586,784,57,0.857359528541565,2,14854
2,Legislator 110,1,Legislator 110,-0.628664314746857,0.095670260488987,0,0,0,0,-23.348316192627,800,7,0.971236407756805,2,14854
2,Legislator 111,1,Legislator 111,0.605068564414978,0.142385959625244,0,0,0,0,-113.315269470215,784,53,0.865424811840057,2,14854
2,Legislator 112,1,Legislator 112,0.488579601049423,-0.358332991600037,0,0,0,0,-94.6426162719727,809,45,0.88959664106369,2,14854
2,Legislator 113,1,Legislator 113,0.550824701786041,0.0719664022326469,0,0,0,0,-95.8235092163086,774,43,0.883553922176361,2,14854
2,Legislator 114,1,Legislator 114,0.32070204615593,0.0619619265198708,0,0,0,0,-126.992378234863,637,59,0.819254815578461,2,14854
2,Legislator 115,1,Legislator 115,0.37071681022644,0.0365636944770813,0,0,0,0,-137.518249511719,809,56,0.843677043914795,2,14854
2,Legislator 116,1,Legislator 116,0.522725284099579,0.463333129882812,0,0,0,0,-174.029373168945,778,80,0.79956442117691,2,14854
2,Legislator 117,1,Legislator 117,0.661906182765961,0.464722961187363,0,0,0,0,-118.06046295166,803,45,0.863273024559021,2,14854
2,Legislator 118,1,Legislator 118,0.412918150424957,-0.395898938179016,0,0,0,0,-117.425018310547,783,59,0.860735416412354,2,14854
2,Legislator 119,1,Legislator 119,-0.663087368011475,0.236590415239334,0,0,0,0,-20.8367710113525,808,8,0.97454160451889,2,14854
2,Legislator 120,1,Legislator 120,0.523040115833282,-0.127880394458771,0,0,0,0,-121.553833007812,784,51,0.856378197669983,2,14854
2,Legislator 121,1,Legislator 121,-0.717463612556458,0.321207344532013,0,0,0,0,-34.364673614502,783,10,0.957060694694519,2,14854
2,Legislator 122,1,Legislator 122,-0.427995920181274,-0.0223971605300903,0,0,0,0,-29.7933197021484,808,12,0.963798582553864,2,14854
2,Legislator 123,1,Legislator 123,-0.55314564704895,0.176052704453468,0,0,0,0,-21.9309215545654,624,7,0.96546471118927,2,14854
2,Legislator 124,1,Legislator 124,-0.492472290992737,-0.0810072422027588,0,0,0,0,-32.7529373168945,796,12,0.959688127040863,2,14854
2,Legislator 125,1,Legislator 125,-0.567540764808655,0.185605958104134,0,0,0,0,-29.7780017852783,770,13,0.962065517902374,2,14854
2,Legislator 126,1,Legislator 126,-0.494342237710953,-0.169901669025421,0,0,0,0,-43.8739280700684,809,18,0.947212040424347,2,14854
2,Legislator 127,1,Legislator 127,-0.746479630470276,0.152512311935425,0,0,0,0,-22.7956981658936,794,8,0.97169828414917,2,14854
2,Legislator 128,1,Legislator 128,-0.677640080451965,0.368342161178589,0,0,0,0,-17.5719413757324,807,4,0.978460967540741,2,14854
2,Legislator 129,1,Legislator 129,-0.587356805801392,0.192696303129196,0,0,0,0,-26.5051708221436,790,6,0.967005729675293,2,14854
2,Legislator 130,1,Legislator 130,-0.370470762252808,-0.0585667751729488,0,0,0,0,-60.7974739074707,789,23,0.925837635993958,2,14854
2,Legislator 131,1,Legislator 131,-0.667254865169525,-0.134451046586037,0,0,0,0,-23.9646148681641,771,9,0.969395577907562,2,14854
2,Legislator 132,1,Legislator 132,0.318937867879868,-0.0858161300420761,0,0,0,0,-128.556488037109,787,50,0.849293828010559,2,14854
2,Legislator 133,1,Legislator 133,-0.474993973970413,-0.268780767917633,0,0,0,0,-22.4106884002686,808,3,0.972645103931427,2,14854
2,Legislator 134,1,Legislator 134,0.467472076416016,-0.357612997293472,0,0,0,0,-87.556282043457,781,39,0.893947780132294,2,14854
2,Legislator 135,1,Legislator 135,0.478243947029114,-0.239727154374123,0,0,0,0,-106.060180664062,791,43,0.874516904354095,2,14854
2,Legislator 136,1,Legislator 136,0.419271767139435,-0.262185752391815,0,0,0,0,-130.378784179688,784,63,0.846792638301849,2,14854
2,Legislator 137,1,Legislator 137,-0.510119557380676,-0.151550397276878,0,0,0,0,-25.8115749359131,796,10,0.968093514442444,2,14854
2,Legislator 138,1,Legislator 138,-0.635749697685242,0.167624980211258,0,0,0,0,-55.7820434570312,795,25,0.932238936424255,2,14854
2,Legislator 139,1,Legislator 139,-0.662723898887634,0.222281500697136,0,0,0,0,-20.4370956420898,796,7,0.974652051925659,2,14854
2,Legislator 140,1,Legislator 140,-0.416781187057495,-0.0600899383425713,0,0,0,0,-43.3766670227051,802,21,0.947350978851318,2,14854
2,Legislator 141,1,Legislator 141,0.46139657497406,0.0459685698151588,0,0,0,0,-118.465751647949,745,43,0.852984070777893,2,14854
2,Legislator 142,1,Legislator 142,0.499472200870514,-0.182058453559875,0,0,0,0,-94.9075012207031,786,39,0.886257767677307,2,14854
2,Legislator 143,1,Legislator 143,-0.664335787296295,-0.0240586400032043,0,0,0,0,-15.2144899368286,773,4,0.980510056018829,2,14854
2,Legislator 144,1,Legislator 144,0.308253198862076,-0.245427399873734,0,0,0,0,-105.686782836914,795,34,0.875518202781677,2,14854
2,Legislator 145,1,Legislator 145,0.55708122253418,-0.234691634774208,0,0,0,0,-104.096527099609,667,47,0.85550206899643,2,14854
2,Legislator 146,1,Legislator 146,0.658620119094849,0.577501535415649,0,0,0,0,-195.832046508789,788,100,0.779955983161926,2,14854
2,Legislator 147,1,Legislator 147,-0.546014308929443,-0.0897806733846664,0,0,0,0,-23.2540187835693,779,5,0.970590054988861,2,14854
2,Legislator 148,1,Legislator 148,0.523647964000702,0.201719596982002,0,0,0,0,-195.690490722656,790,83,0.780586659908295,2,14854
2,Legislator 149,1,Legislator 149,0.650622665882111,0.171939432621002,0,0,0,0,-101.499618530273,768,46,0.876199960708618,2,14854
2,Legislator 150,1,Legislator 150,-0.671184122562408,0.0345769412815571,0,0,0,0,-31.8118057250977,780,11,0.960036098957062,2,14854
2,Legislator 151,1,Legislator 151,0.554437696933746,-0.130390226840973,0,0,0,0,-106.451293945312,788,40,0.873636841773987,2,14854
2,Legislator 152,1,Legislator 152,-0.479428142309189,0.0934092178940773,0,0,0,0,-32.3169555664062,800,10,0.960408866405487,2,14854
2,Legislator 153,1,Legislator 153,-0.38097009062767,0.0812177285552025,0,0,0,0,-88.6446990966797,802,26,0.895359873771667,2,14854
2,Legislator 154,1,Legislator 154,0.491067200899124,-0.230303689837456,0,0,0,0,-97.2777404785156,787,41,0.88372814655304,2,14854
2,Legislator 155,1,Legislator 155,-0.471060752868652,0.169601276516914,0,0,0,0,-31.1642436981201,807,16,0.962118744850159,2,14854
2,Legislator 156,1,Legislator 156,-0.777953743934631,0.403971463441849,0,0,0,0,-35.8028335571289,797,12,0.95607203245163,2,14854
